# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	category
GO:0019882	BP	e	antigen processing and presentation	14/4388	24/19370	0.00017187958790246952	2	14	0.017531717966051887	972, 1512, 1514, 1520, 2131, 2629, 5696, 5865, 5867, 5869, 5870, 10890, 11021, 51762	MAPTAC_class_II
GO:0030166	BP	e	proteoglycan biosynthetic process	12/4388	19/19370	0.00017835769514663798	7	12	0.017896672142274847	659, 3479, 9486, 9917, 11285, 50515, 55454, 55501, 79690, 83539, 124583, 126792	MAPTAC_class_II
GO:0006414	BP	e	translational elongation	12/4388	19/19370	0.00017835769514663798	6	12	0.017896672142274847	1915, 1917, 1933, 1936, 1937, 1938, 1984, 6176, 7284, 9567, 10767, 79631	MAPTAC_class_II
GO:0018243	BP	e	protein O-linked glycosylation via threonine	7/4388	8/19370	0.0001957170793943956	9	7	0.01898032068147936	2589, 2590, 2591, 8693, 57452, 63917, 114805	MAPTAC_class_II
GO:0048846	BP	e	axon extension involved in axon guidance	7/4388	8/19370	0.0001957170793943956	6	7	0.01898032068147936	214, 6405, 6585, 8828, 8829, 9353, 10371	MAPTAC_class_II
GO:0000338	BP	e	protein deneddylation	8/4388	10/19370	0.00019838448937861266	9	8	0.01898032068147936	1861, 2873, 8533, 9318, 10920, 10980, 10987, 50813	MAPTAC_class_II
GO:1904851	BP	e	positive regulation of establishment of protein localization to telomere	8/4388	10/19370	0.00019838448937861266	8	8	0.01898032068147936	908, 6950, 7203, 10574, 10575, 10576, 10694, 22948	MAPTAC_class_II
GO:0032836	BP	e	glomerular basement membrane development	8/4388	10/19370	0.00019838448937861266	6	8	0.01898032068147936	1285, 1286, 2131, 4811, 4868, 7490, 23213, 55959	MAPTAC_class_II
GO:0051272	BP	e	positive regulation of cellular component movement	8/4388	10/19370	0.00019838448937861266	5	8	0.01898032068147936	81, 2113, 3925, 4067, 6223, 6868, 7046, 10630	MAPTAC_class_II
GO:0032200	BP	e	telomere organization	15/4388	27/19370	0.0002124401974796269	6	15	0.020168745517642733	8294, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8370, 84444, 121504, 554313	MAPTAC_class_II
GO:0042307	BP	e	positive regulation of protein import into nucleus	20/4388	41/19370	0.00023886807417926537	9	20	0.022504654744431248	999, 2316, 2737, 3326, 3717, 3728, 3843, 5296, 5594, 5743, 5901, 6608, 7175, 8692, 8882, 9531, 10155, 10204, 23435, 57506	MAPTAC_class_II
GO:0033627	BP	e	cell adhesion mediated by integrin	13/4388	22/19370	0.00024698886100822643	3	13	0.022593873873897163	2131, 2200, 3383, 3673, 3678, 3685, 3688, 3689, 3691, 3693, 3695, 6868, 8754	MAPTAC_class_II
GO:0045807	BP	e	positive regulation of endocytosis	13/4388	22/19370	0.00024698886100822643	7	13	0.022593873873897163	163, 348, 977, 2719, 4035, 6363, 6609, 7036, 7474, 10211, 23327, 28514, 57534	MAPTAC_class_II
GO:0051491	BP	e	positive regulation of filopodium assembly	16/4388	30/19370	0.00024713765783309976	9	16	0.022593873873897163	998, 1236, 1809, 2332, 5898, 6366, 6624, 6722, 7046, 8829, 8976, 9750, 10178, 22871, 23613, 375790	MAPTAC_class_II
GO:0036258	BP	e	multivesicular body assembly	16/4388	30/19370	0.00024713765783309976	8	16	0.022593873873897163	7251, 8027, 8766, 9146, 9525, 9798, 10015, 10254, 25978, 27183, 51160, 51510, 55048, 79643, 84313, 91782	MAPTAC_class_II
GO:0007157	BP	e	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	22/4388	46/19370	0.0002556993827123198	5	22	0.023114068077984933	214, 923, 1000, 1525, 3383, 3683, 5789, 5817, 5818, 7412, 8642, 8763, 10178, 22859, 22871, 23705, 25945, 55714, 79633, 83872, 91179, 347902	MAPTAC_class_II
GO:0006914	BP	e	autophagy	47/4388	127/19370	0.0002565732722965431	4	47	0.023114068077984933	310, 1213, 1611, 2629, 3146, 3394, 3428, 3691, 4218, 4864, 5563, 5861, 6279, 6280, 7009, 7415, 8406, 8408, 8878, 9100, 9528, 9706, 9821, 9919, 10013, 10133, 10548, 11315, 11345, 23208, 23230, 23274, 23339, 25978, 51100, 53917, 54472, 55062, 55201, 56893, 57655, 79735, 81671, 84219, 91445, 120892, 128338	MAPTAC_class_II
GO:0071260	BP	e	cellular response to mechanical stimulus	33/4388	81/19370	0.0002640809470575743	5	33	0.023618022091192625	355, 396, 476, 654, 664, 834, 838, 943, 1277, 1605, 1956, 2022, 2697, 3659, 3673, 3759, 4214, 4615, 5339, 5743, 6416, 6513, 6548, 7132, 7481, 8795, 9020, 9531, 9780, 27063, 50848, 54407, 136319	MAPTAC_class_II
GO:0017148	BP	e	negative regulation of translation	31/4388	75/19370	0.00027371447758838506	8	31	0.024303482607164383	283, 811, 1153, 1613, 1656, 1977, 2058, 2332, 2597, 3488, 3609, 3658, 4076, 4691, 4904, 5610, 6188, 6470, 6472, 9451, 10399, 10492, 10642, 10643, 10644, 23367, 23521, 26058, 26065, 54464, 131405	MAPTAC_class_II
GO:0045727	BP	e	positive regulation of translation	30/4388	72/19370	0.0003261042730217266	8	30	0.028748420983101076	940, 1019, 1153, 1938, 1982, 1994, 2064, 2332, 2475, 3184, 3646, 3673, 3692, 4869, 5591, 5594, 6125, 6154, 6191, 7057, 7431, 7919, 23185, 23654, 26986, 54915, 55323, 60558, 84271, 253943	MAPTAC_class_II
GO:0006897	BP	e	endocytosis	65/4388	191/19370	0.00033438690023323615	5	65	0.02912312435883369	160, 274, 333, 351, 923, 998, 1173, 1454, 1456, 1785, 1808, 2690, 3949, 3959, 4017, 4036, 4038, 4041, 4065, 4646, 4830, 4864, 5167, 5168, 5861, 5868, 5869, 5878, 6272, 6643, 7249, 7804, 7879, 9026, 9135, 9322, 9685, 9902, 10043, 10868, 10928, 10938, 25977, 26020, 26130, 26985, 30011, 30844, 50618, 51429, 51435, 51479, 54497, 54940, 55707, 57534, 58480, 58513, 66036, 84547, 91179, 120892, 261729, 284297, 375056	MAPTAC_class_II
GO:1903543	BP	e	positive regulation of exosomal secretion	10/4388	15/19370	0.00033743370469236896	9	10	0.02912312435883369	6382, 6385, 6386, 7251, 7879, 8027, 9146, 9525, 10015, 27183	MAPTAC_class_II
GO:0002063	BP	e	chondrocyte development	10/4388	15/19370	0.00033743370469236896	4	10	0.02912312435883369	659, 1301, 1893, 6474, 9451, 22856, 23213, 50515, 54928, 55959	MAPTAC_class_II
GO:0002053	BP	e	positive regulation of mesenchymal cell proliferation	12/4388	20/19370	0.00035394592983105464	6	12	0.030189882957471843	1499, 2263, 4041, 4609, 4613, 5154, 6474, 6608, 6772, 7048, 7474, 8646	MAPTAC_class_II
GO:0061077	BP	e	chaperone-mediated protein folding	15/4388	28/19370	0.000362024200105804	3	15	0.030189882957471843	1191, 1457, 1676, 1861, 2280, 2286, 2288, 3315, 5479, 9601, 10131, 10491, 55898, 64175, 80331	MAPTAC_class_II
GO:0045070	BP	e	positive regulation of viral genome replication	15/4388	28/19370	0.000362024200105804	6	15	0.030189882957471843	103, 940, 1642, 3434, 4851, 5478, 5886, 6352, 6780, 6895, 10450, 10465, 23367, 26986, 201626	MAPTAC_class_II
GO:0070372	BP	e	regulation of ERK1 and ERK2 cascade	15/4388	28/19370	0.000362024200105804	8	15	0.030189882957471843	1956, 1969, 2045, 2064, 2263, 2335, 2950, 3491, 4067, 5314, 6098, 6850, 7534, 10419, 23390	MAPTAC_class_II
GO:0048870	BP	e	cell motility	18/4388	36/19370	0.0003916877269324868	3	18	0.032228066172005014	60, 667, 1072, 1073, 1969, 2017, 2113, 3691, 4323, 5168, 5604, 5747, 6624, 6868, 7046, 9844, 84229, 93185	MAPTAC_class_II
GO:0035633	BP	e	maintenance of blood-brain barrier	16/4388	31/19370	0.00040379514166930013	6	16	0.033004236016440404	60, 2697, 3688, 3908, 3915, 5743, 6558, 7082, 7414, 9069, 50848, 51599, 58494, 65267, 83700, 100506658	MAPTAC_class_II
GO:0097242	BP	e	amyloid-beta clearance	9/4388	13/19370	0.0004509478459344917	2	9	0.03642384089350044	718, 3416, 3480, 3643, 3684, 3689, 3949, 4035, 4036	MAPTAC_class_II
GO:0030968	BP	e	endoplasmic reticulum unfolded protein response	21/4388	45/19370	0.00045743763883427063	5	21	0.03642384089350044	267, 1388, 3309, 5610, 7415, 7466, 8720, 9451, 9709, 10273, 10956, 22926, 27248, 30001, 51009, 54870, 57414, 64764, 79956, 90993, 148327	MAPTAC_class_II
GO:0071364	BP	e	cellular response to epidermal growth factor stimulus	21/4388	45/19370	0.00045743763883427063	6	21	0.03642384089350044	790, 1277, 1845, 1915, 1956, 2064, 2066, 2296, 2950, 4141, 4176, 4691, 5335, 5782, 6777, 8826, 8882, 10458, 64762, 84687, 94056	MAPTAC_class_II
GO:0022617	BP	e	extracellular matrix disassembly	21/4388	45/19370	0.00045743763883427063	6	21	0.03642384089350044	101, 102, 1513, 1515, 1520, 3915, 3936, 4313, 4314, 4323, 4324, 5045, 5340, 8751, 9313, 9622, 10211, 57326, 64147, 149371, 170689	MAPTAC_class_II
GO:0006397	BP	e	mRNA processing	59/4388	172/19370	0.00046663872710464425	8	59	0.03674014203707352	103, 676, 1665, 2332, 3181, 3191, 3312, 3958, 4154, 4841, 4904, 5566, 5725, 6421, 6429, 8175, 8570, 8683, 8882, 9129, 9295, 9444, 9584, 9924, 9967, 9984, 10147, 10236, 10262, 10291, 10594, 10656, 10657, 10658, 10915, 10946, 10949, 10992, 11051, 11338, 22803, 22984, 22985, 23435, 23543, 23658, 29890, 51202, 51593, 51755, 55544, 57794, 58517, 64062, 84321, 92906, 201626, 255967, 283989	MAPTAC_class_II
GO:0018107	BP	e	peptidyl-threonine phosphorylation	27/4388	64/19370	0.0004703404992592461	9	27	0.03674014203707352	90, 91, 790, 817, 1457, 1459, 2475, 2931, 2932, 4294, 5566, 5591, 5594, 5604, 6093, 7046, 7048, 8408, 8444, 8476, 8658, 9475, 55561, 65125, 65267, 85366, 120892	MAPTAC_class_II
GO:0061025	BP	e	membrane fusion	17/4388	33/19370	0.0004816696513791304	5	17	0.03738847067497628	310, 6844, 8291, 8615, 8676, 8773, 8774, 9135, 9218, 9342, 10059, 10490, 11261, 22999, 26509, 55850, 57531	MAPTAC_class_II
GO:0016525	BP	e	negative regulation of angiogenesis	35/4388	89/19370	0.0004979333749045444	8	35	0.03756245718050428	240, 356, 576, 1284, 1285, 1499, 1944, 1969, 2296, 2969, 3273, 3339, 4303, 5176, 5230, 5797, 6093, 6678, 6772, 7057, 7058, 9146, 9475, 9510, 9723, 10769, 11117, 23166, 23213, 55810, 57556, 64855, 128240, 154796, 161742	MAPTAC_class_II
GO:0000381	BP	e	regulation of alternative mRNA splicing, via spliceosome	26/4388	60/19370	0.0004981693108444858	10	26	0.03756245718050428	1655, 2332, 3178, 3191, 3192, 4154, 5725, 6434, 8241, 9939, 9967, 10521, 10656, 10657, 10658, 10659, 11189, 22827, 23543, 27316, 29890, 55234, 58517, 60677, 64783, 125950	MAPTAC_class_II
GO:0007416	BP	e	synapse assembly	26/4388	60/19370	0.0004981693108444858	6	26	0.03756245718050428	999, 1000, 1399, 1826, 2066, 3084, 4131, 4897, 6259, 9378, 9746, 9806, 22871, 23129, 23284, 23363, 23767, 26167, 54413, 54549, 56130, 56131, 56133, 57555, 84694, 221935	MAPTAC_class_II
GO:0051402	BP	e	neuron apoptotic process	19/4388	40/19370	0.0005014299587547718	5	19	0.03756245718050428	351, 581, 637, 664, 2065, 2597, 2629, 2876, 3309, 3981, 4149, 4804, 7224, 8883, 9131, 23385, 27242, 51604, 55074	MAPTAC_class_II
GO:1901998	BP	e	toxin transport	19/4388	40/19370	0.0005014299587547718	4	19	0.03756245718050428	102, 535, 664, 834, 3309, 4040, 4225, 6950, 7203, 8829, 9276, 10574, 10575, 10576, 10694, 22948, 26088, 84168, 200186	MAPTAC_class_II
GO:0099175	BP	e	regulation of postsynapse organization	11/4388	18/19370	0.000505215353424381	6	11	0.03756245718050428	378, 2045, 3312, 5552, 6405, 7474, 7476, 8828, 25978, 57497, 58489	MAPTAC_class_II
GO:0097503	BP	e	sialylation	11/4388	18/19370	0.000505215353424381	5	11	0.03756245718050428	6480, 6483, 6484, 6487, 7903, 8869, 10402, 27090, 55808, 256435, 338596	MAPTAC_class_II
GO:0001895	BP	e	retina homeostasis	18/4388	37/19370	0.0005292568058139962	6	18	0.038685756024582525	60, 213, 563, 567, 1001, 3315, 3512, 4069, 5052, 5284, 5304, 6121, 6647, 7018, 9153, 11272, 387715, 653781	MAPTAC_class_II
GO:0008203	BP	e	cholesterol metabolic process	31/4388	77/19370	0.0005347612642894165	6	31	0.038685756024582525	335, 336, 338, 348, 351, 847, 2232, 2629, 3069, 3949, 3953, 3991, 4041, 4779, 4864, 6609, 6720, 6721, 7436, 8542, 8720, 9420, 10577, 10613, 10948, 11160, 23461, 25987, 50814, 90809, 255738	MAPTAC_class_II
GO:0015031	BP	e	protein transport	109/4388	357/19370	0.0005446161372860796	5	109	0.038685756024582525	81, 403, 409, 689, 857, 1069, 1130, 1277, 1984, 2665, 3895, 4036, 4580, 4627, 4642, 4678, 5296, 5538, 5862, 5867, 6102, 6238, 6284, 6844, 6845, 7184, 7251, 7879, 8618, 8658, 8724, 8773, 8888, 9135, 9342, 9367, 9382, 9522, 9525, 9527, 9798, 9907, 9961, 10015, 10040, 10043, 10066, 10067, 10254, 10282, 10564, 10565, 10628, 10960, 11014, 11021, 11316, 11345, 23041, 23085, 23225, 23265, 23279, 23317, 25909, 25977, 25978, 29097, 51296, 51501, 51510, 51668, 53353, 53916, 54497, 55054, 55207, 55667, 55707, 55850, 56943, 56999, 57120, 57130, 57182, 57333, 57561, 64145, 79643, 80055, 80144, 80184, 80223, 81562, 83452, 84342, 90411, 91461, 91782, 95681, 116986, 116987, 121260, 146691, 149371, 254122, 255231, 348995, 375056	MAPTAC_class_II
GO:0032092	BP	e	positive regulation of protein binding	29/4388	71/19370	0.0005581361129002317	5	29	0.038685756024582525	118, 267, 351, 567, 650, 652, 857, 1636, 2033, 2035, 2280, 2932, 3326, 3416, 4035, 5300, 5310, 5901, 5986, 6135, 6708, 7474, 9026, 10211, 10418, 10769, 23129, 120892, 121665	MAPTAC_class_II
GO:0016197	BP	e	endosomal transport	26/4388	61/19370	0.0005678626694709272	5	26	0.038685756024582525	7840, 8878, 9146, 9201, 9525, 9784, 9907, 10043, 10890, 10938, 11021, 23274, 23603, 27065, 27183, 30844, 50618, 51429, 51479, 55004, 55207, 58513, 64129, 64145, 81609, 116986	MAPTAC_class_II
GO:0070085	BP	e	glycosylation	8/4388	11/19370	0.0005820664018734155	2	8	0.038685756024582525	1203, 2683, 8702, 8703, 8704, 9331, 9334, 11285	MAPTAC_class_II
GO:0043589	BP	e	skin morphogenesis	8/4388	11/19370	0.0005820664018734155	4	8	0.038685756024582525	1041, 1277, 1278, 2629, 3655, 3673, 3691, 6722	MAPTAC_class_II
GO:0075522	BP	e	IRES-dependent viral translational initiation	8/4388	11/19370	0.0005820664018734155	2	8	0.038685756024582525	5094, 5725, 6741, 7812, 8661, 8662, 8665, 28985	MAPTAC_class_II
GO:0051603	BP	e	proteolysis involved in cellular protein catabolic process	15/4388	29/19370	0.0005935538180932144	6	15	0.038685756024582525	824, 1075, 1508, 1512, 1513, 1514, 1515, 1520, 1522, 3416, 5611, 5641, 8722, 9361, 11173	MAPTAC_class_II
GO:0030163	BP	e	protein catabolic process	15/4388	29/19370	0.0005935538180932144	5	15	0.038685756024582525	259, 1200, 1203, 2131, 2475, 3416, 4851, 5538, 5700, 5702, 5704, 7347, 9313, 10279, 55850	MAPTAC_class_II
GO:0034504	BP	e	protein localization to nucleus	17/4388	34/19370	0.0005943740166932897	6	17	0.038685756024582525	652, 655, 811, 1277, 1861, 4000, 4487, 5356, 6135, 6608, 7514, 7531, 10347, 26092, 26108, 27348, 54623	MAPTAC_class_II
GO:0045454	BP	e	cell redox homeostasis	17/4388	34/19370	0.0005943740166932897	5	17	0.038685756024582525	2876, 2936, 5052, 7001, 7295, 7296, 9588, 10549, 10935, 23071, 23530, 25824, 28964, 30001, 51714, 81031, 84329	MAPTAC_class_II
GO:0010811	BP	e	positive regulation of cell-substrate adhesion	17/4388	34/19370	0.0005943740166932897	6	17	0.038685756024582525	402, 1295, 3491, 3655, 3675, 3717, 4811, 4887, 9806, 10085, 11117, 79625, 133584, 136227, 151887, 255743, 375567	MAPTAC_class_II
GO:0032212	BP	e	positive regulation of telomere maintenance via telomerase	17/4388	34/19370	0.0005943740166932897	10	17	0.038685756024582525	472, 908, 1499, 3178, 5594, 6950, 7203, 7520, 8658, 10574, 10575, 10576, 10694, 22948, 80351, 92345, 225689	MAPTAC_class_II
GO:0014910	BP	e	regulation of smooth muscle cell migration	5/4388	5/19370	0.0005955512594936541	7	5	0.038685756024582525	1636, 5154, 5328, 5361, 6653	MAPTAC_class_II
GO:0060666	BP	e	dichotomous subdivision of terminal units involved in salivary gland branching	5/4388	5/19370	0.0005955512594936541	6	5	0.038685756024582525	5361, 8829, 10371, 10512, 23129	MAPTAC_class_II
GO:0009113	BP	e	purine nucleobase biosynthetic process	5/4388	5/19370	0.0005955512594936541	8	5	0.038685756024582525	5471, 6470, 6472, 8833, 10606	MAPTAC_class_II
GO:0031581	BP	e	hemidesmosome assembly	5/4388	5/19370	0.0005955512594936541	7	5	0.038685756024582525	667, 1308, 3691, 3915, 5339	MAPTAC_class_II
GO:0033591	BP	e	response to L-ascorbic acid	5/4388	5/19370	0.0005955512594936541	7	5	0.038685756024582525	847, 2950, 3673, 6648, 6678	MAPTAC_class_II
GO:0070934	BP	e	CRD-mediated mRNA stabilization	5/4388	5/19370	0.0005955512594936541	11	5	0.038685756024582525	1660, 3192, 4904, 10492, 10642	MAPTAC_class_II
GO:0021637	BP	e	trigeminal nerve structural organization	5/4388	5/19370	0.0005955512594936541	4	5	0.038685756024582525	6405, 8829, 10371, 55558, 91584	MAPTAC_class_II
GO:1902474	BP	e	positive regulation of protein localization to synapse	5/4388	5/19370	0.0005955512594936541	6	5	0.038685756024582525	4137, 7474, 9746, 22871, 57555	MAPTAC_class_II
GO:0033631	BP	e	cell-cell adhesion mediated by integrin	5/4388	5/19370	0.0005955512594936541	4	5	0.038685756024582525	3676, 3688, 8613, 8754, 255743	MAPTAC_class_II
GO:0021785	BP	e	branchiomotor neuron axon guidance	5/4388	5/19370	0.0005955512594936541	6	5	0.038685756024582525	6405, 8829, 10371, 23077, 55558	MAPTAC_class_II
GO:0048754	BP	e	branching morphogenesis of an epithelial tube	12/4388	21/19370	0.0006558992144927782	6	12	0.0421620213816139	652, 655, 4233, 4323, 4613, 4851, 5310, 5314, 5499, 9353, 25932, 54922	MAPTAC_class_II
GO:0072006	BP	e	nephron development	7/4388	9/19370	0.000707041085528061	3	7	0.04429594455628087	182, 3675, 23279, 28514, 54798, 55746, 57122	MAPTAC_class_II
GO:1902414	BP	e	protein localization to cell junction	7/4388	9/19370	0.000707041085528061	4	7	0.04429594455628087	5818, 8649, 10979, 25945, 57493, 83700, 91862	MAPTAC_class_II
GO:0032872	BP	e	regulation of stress-activated MAPK cascade	7/4388	9/19370	0.000707041085528061	8	7	0.04429594455628087	355, 2950, 4077, 5052, 5594, 5604, 5605	MAPTAC_class_II
GO:0043486	BP	e	histone exchange	7/4388	9/19370	0.000707041085528061	7	7	0.04429594455628087	4678, 9025, 10467, 10847, 64431, 81611, 144108	MAPTAC_class_II
GO:1900244	BP	e	positive regulation of synaptic vesicle endocytosis	7/4388	9/19370	0.000707041085528061	8	7	0.04429594455628087	1173, 1861, 6455, 10059, 22871, 120892, 154664	MAPTAC_class_II
GO:0010629	BP	e	negative regulation of gene expression	73/4388	225/19370	0.0007216781337786869	6	73	0.04498460367220481	32, 91, 102, 310, 348, 351, 650, 652, 940, 1399, 1499, 1636, 1786, 2022, 2319, 2534, 2624, 3065, 3091, 3479, 3791, 3949, 4035, 4137, 4149, 4179, 4282, 4613, 4830, 4851, 4853, 5074, 5176, 5293, 5563, 5641, 5741, 5966, 6091, 6422, 6608, 7110, 7376, 7498, 7528, 7707, 8140, 8614, 8904, 9241, 9475, 10330, 10399, 10658, 10961, 11117, 11315, 23181, 23435, 27303, 51006, 51043, 54567, 54602, 65992, 80762, 81031, 84858, 90993, 91663, 94241, 219736, 100506658	MAPTAC_class_II
GO:0030501	BP	e	positive regulation of bone mineralization	18/4388	38/19370	0.0007405003197998452	7	18	0.04592590425612909	90, 92, 93, 240, 490, 650, 652, 654, 655, 659, 2201, 3491, 5741, 7020, 9636, 51374, 91461, 196527	MAPTAC_class_II
GO:0030218	BP	e	erythrocyte differentiation	21/4388	47/19370	0.0007522780730101513	5	21	0.04601280548943521	103, 292, 652, 1777, 2034, 2625, 3313, 3624, 3717, 3815, 4067, 6208, 6223, 6886, 8444, 10107, 22985, 28982, 51522, 55904, 93974	MAPTAC_class_II
GO:0006267	BP	e	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	6/4388	7/19370	0.0007605422394947968	10	6	0.04601280548943521	4171, 4172, 4173, 4174, 4175, 4176	MAPTAC_class_II
GO:1901030	BP	e	positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	6/4388	7/19370	0.0007605422394947968	9	6	0.04601280548943521	2931, 2932, 7755, 9026, 93974, 400916	MAPTAC_class_II
GO:0150093	BP	e	amyloid-beta clearance by transcytosis	6/4388	7/19370	0.0007605422394947968	6	6	0.04601280548943521	1213, 4035, 4043, 5868, 8766, 9230	MAPTAC_class_II
GO:0006997	BP	e	nucleus organization	13/4388	24/19370	0.0007796803627250638	5	13	0.04671269435316863	274, 4926, 5339, 6314, 9525, 23345, 23760, 25978, 27183, 51280, 51510, 79643, 91782	MAPTAC_class_II
GO:0021915	BP	e	neural tube development	13/4388	24/19370	0.0007796803627250638	5	13	0.04671269435316863	1969, 3705, 4851, 5310, 5362, 8642, 8854, 8985, 10512, 26227, 55746, 131405, 140467	MAPTAC_class_II
GO:0050911	BP	p	detection of chemical stimulus involved in sensory perception of smell	13/4388	394/19370	3.432808312669353e-06	5	13	0.0009210373955427207	26476, 26531, 26659, 26689, 81300, 81392, 81466, 81470, 119687, 283159, 283160, 341418, 441670	MAPTAC_class_II
GO:0007186	BP	p	G protein-coupled receptor signaling pathway	88/4388	871/19370	4.9750015270942484e-06	5	88	0.0011466052815135672	334, 335, 348, 374, 576, 643, 718, 727, 954, 976, 1081, 1236, 1889, 1951, 1952, 2535, 2782, 2783, 2844, 2861, 2864, 3269, 3350, 3482, 3643, 3710, 3717, 5157, 5330, 5741, 6272, 6352, 6361, 6363, 6366, 6608, 7253, 7852, 8323, 8325, 8477, 8843, 9052, 9138, 9213, 9289, 9590, 9620, 10149, 10755, 10874, 11214, 22859, 23266, 23284, 23596, 26476, 26531, 26659, 26689, 50835, 54328, 55890, 55970, 56670, 57211, 60675, 64805, 80835, 81300, 81392, 81466, 81470, 81491, 94235, 119687, 131601, 139378, 160897, 165082, 166647, 256933, 283159, 283160, 283869, 341418, 440435, 441670	MAPTAC_class_II
GO:0006357	BP	p	regulation of transcription by RNA polymerase II	229/4388	1594/19370	6.699545263473839e-06	10	229	0.0014506278533648093	20, 86, 367, 405, 745, 817, 865, 988, 1045, 1108, 1388, 1655, 1660, 1831, 1879, 1893, 2019, 2034, 2077, 2113, 2118, 2119, 2120, 2122, 2186, 2295, 2296, 2309, 2313, 2521, 2624, 2625, 2627, 2737, 2739, 3065, 3091, 3097, 3146, 3150, 3190, 3196, 3206, 3211, 3212, 3213, 3280, 3298, 3394, 3624, 3659, 3661, 3725, 4149, 4150, 4205, 4303, 4487, 4609, 4613, 4661, 4738, 4772, 4776, 4778, 4779, 4800, 5066, 5077, 5087, 5178, 5216, 5253, 5452, 5455, 5573, 5585, 5705, 5885, 5966, 5993, 6046, 6474, 6493, 6599, 6648, 6667, 6720, 6721, 6722, 6777, 6829, 6862, 6886, 6894, 6928, 7008, 7020, 7026, 7392, 7490, 7528, 7547, 7553, 7633, 7675, 7707, 7755, 7762, 7770, 7799, 7913, 8061, 8289, 8456, 8467, 8473, 8607, 8804, 9031, 9095, 9096, 9124, 9422, 9516, 9726, 9925, 9968, 10009, 10025, 10265, 10488, 10521, 10522, 10553, 10847, 10848, 10856, 10923, 11168, 11177, 11262, 22877, 22890, 22926, 22938, 22992, 23013, 23133, 23211, 23261, 25803, 26205, 26468, 26959, 27022, 27063, 27153, 27164, 28999, 29994, 30009, 30062, 30812, 49854, 50810, 51043, 51588, 51780, 54862, 55250, 55810, 56242, 56943, 57018, 57593, 57594, 58190, 58525, 59348, 63976, 64207, 64710, 64763, 64764, 64919, 79084, 79776, 79797, 80034, 81669, 83637, 84146, 84547, 84717, 84878, 84969, 90993, 91120, 92595, 112950, 116115, 126208, 128209, 135112, 140467, 146198, 147657, 148103, 148327, 158586, 162979, 166793, 170067, 200014, 221937, 255877, 283248, 283571, 284370, 284459, 340260, 340784, 344191, 347853, 360023, 389058, 403341, 644168	MAPTAC_class_II
GO:0007188	BP	p	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	2/4388	52/19370	0.00035612364260543015	6	2	0.030189882957471843	799, 2778	MAPTAC_class_II
GO:0007268	BP	p	chemical synaptic transmission	33/4388	244/19370	0.0003779964594312957	7	33	0.03131028390806075	774, 1137, 1138, 1267, 1499, 3269, 3350, 3777, 4040, 4885, 5582, 5594, 6195, 6197, 6386, 6856, 6863, 7804, 8620, 8913, 8927, 9152, 9378, 10052, 10497, 10755, 22871, 26167, 54413, 56130, 56131, 56133, 57555	MAPTAC_class_II
GO:0007608	BP	p	sensory perception of smell	9/4388	101/19370	0.0004700049628425953	6	9	0.03674014203707352	2535, 10678, 26659, 26689, 89797, 130507, 283159, 283160, 100507003	MAPTAC_class_II
GO:0006805	BP	p	xenobiotic metabolic process	5/4388	72/19370	0.0006010479992133303	3	5	0.03883840003293676	1571, 2052, 2950, 5447, 23491	MAPTAC_class_II
GO:0060078	BP	p	regulation of postsynaptic membrane potential	0/4388	31/19370	0.0007494065793635399	4	0	0.04601280548943521		MAPTAC_class_II
GO:0042788	CC	e	polysomal ribosome	26/4388	32/19370	2.4946579183016423e-07	6	26	9.531590795285852e-05	689, 1660, 1938, 4736, 6128, 6130, 6132, 6135, 6141, 6142, 6143, 6152, 6156, 6160, 6161, 6169, 6170, 6173, 6227, 6228, 6234, 6235, 23185, 23367, 25873, 57532	MAPTAC_class_II
GO:0022624	CC	e	proteasome accessory complex	14/4388	17/19370	3.084836402412012e-07	2	14	9.531590795285852e-05	5700, 5701, 5702, 5704, 5705, 5706, 5707, 5708, 5709, 5710, 5714, 5717, 9861, 10213	MAPTAC_class_II
GO:0042613	CC	e	MHC class II protein complex	14/4388	17/19370	3.084836402412012e-07	5	14	9.531590795285852e-05	567, 972, 3108, 3109, 3111, 3113, 3115, 3117, 3118, 3119, 3122, 3123, 3125, 3127	MAPTAC_class_II
GO:0000502	CC	e	proteasome complex	35/4388	53/19370	4.0589732028839457e-07	5	35	9.531590795285852e-05	3315, 5682, 5683, 5684, 5685, 5686, 5688, 5689, 5690, 5691, 5693, 5696, 5698, 5700, 5701, 5702, 5704, 5705, 5706, 5707, 5708, 5709, 5710, 5713, 5714, 5716, 5717, 5721, 5886, 5887, 7415, 9352, 9861, 10197, 10213	MAPTAC_class_II
GO:0002102	CC	e	podosome	20/4388	28/19370	4.295669462029683e-07	5	20	9.531590795285852e-05	101, 2017, 2934, 3190, 3936, 5782, 6455, 6624, 6840, 7082, 7171, 7412, 7414, 7984, 9948, 23022, 58480, 64147, 85477, 134265	MAPTAC_class_II
