# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0005737	CC	e	cytoplasm	134/410	4648/19370	6.596214061855066e-05	2	134	0.0021413265278577647	60, 101, 102, 175, 302, 338, 392, 397, 811, 943, 949, 972, 998, 1072, 1499, 1605, 1642, 1938, 2023, 2171, 2512, 2517, 2535, 2597, 2617, 2665, 2717, 2783, 2838, 3059, 3094, 3312, 3329, 3688, 3716, 3728, 3782, 3916, 3936, 3945, 4282, 4627, 4673, 4733, 4738, 4739, 4758, 4831, 4976, 5055, 5093, 5094, 5216, 5223, 5479, 5518, 5641, 5720, 5721, 5901, 6004, 6122, 6129, 6188, 6197, 6223, 6386, 6451, 6624, 6638, 6678, 6727, 6782, 6857, 7128, 7311, 7345, 7415, 7779, 7850, 7852, 8698, 8924, 9110, 9402, 9525, 9805, 9817, 9860, 9961, 10243, 10254, 10382, 10528, 10537, 10606, 10938, 10985, 11151, 11313, 11315, 11345, 23170, 23475, 23521, 23558, 25864, 25930, 26001, 26154, 27183, 29110, 51150, 51160, 51637, 54407, 54472, 54602, 55332, 55654, 55750, 55914, 57674, 63893, 64781, 65108, 80146, 80349, 116496, 127262, 128338, 199953, 284996, 729440
GO:0005783	CC	e	endoplasmic reticulum	41/410	1037/19370	0.00013083718970676052	5	41	0.004170138064653659	175, 811, 1522, 2040, 2826, 4040, 4121, 4864, 5034, 5351, 5479, 5954, 6188, 6653, 6782, 7070, 7311, 7415, 7779, 8985, 9482, 9601, 9817, 10483, 10549, 10558, 10905, 10961, 11253, 11315, 11342, 23344, 51150, 54602, 55754, 64374, 80762, 84885, 115817, 168537, 375387
GO:0060473	CC	e	cortical granule	3/410	6/19370	0.00017955537975691789	9	3	0.00552211545112065	811, 3074, 4627
GO:0097208	CC	e	alveolar lamellar body	3/410	6/19370	0.00017955537975691789	10	3	0.00552211545112065	21, 1512, 3916
GO:0022627	CC	e	cytosolic small ribosomal subunit	6/410	41/19370	0.00020822075793120777	5	6	0.006293292907817365	3039, 3040, 6188, 6223, 6230, 7311
GO:0098685	CC	e	Schaffer collateral - CA1 synapse	8/410	78/19370	0.00024204001549847436	4	8	0.007071602452813759	60, 998, 1499, 3688, 5534, 5552, 7779, 23208
GO:0001891	CC	e	phagocytic cup	5/410	28/19370	0.00027266812185407083	2	5	0.007729835110670079	3936, 7124, 11151, 23208, 57192
GO:0098978	CC	e	glutamatergic synapse	18/410	332/19370	0.00027338834960727033	4	18	0.007729835110670079	60, 102, 1605, 2319, 3312, 3688, 5216, 5534, 5552, 6678, 6857, 7415, 8775, 11151, 51104, 55914, 145581, 147381
GO:0101003	CC	e	ficolin-1-rich granule membrane	7/410	61/19370	0.0002947769777434783	7	7	0.008202286380703453	101, 527, 3689, 3916, 5547, 10159, 55004
GO:0035580	CC	e	specific granule lumen	7/410	62/19370	0.00032633303242712803	7	7	0.008938465716324305	1509, 1522, 1794, 3728, 4758, 8836, 54472
GO:0014704	CC	e	intercalated disc	6/410	45/19370	0.0003512549794470957	6	6	0.009473076599550136	1829, 3688, 3728, 3759, 6513, 10052
GO:0005840	CC	e	ribosome	6/410	46/19370	0.0003968213096844299	5	6	0.010539814482981903	6133, 6188, 6223, 6230, 10985, 23521
GO:0034674	CC	e	integrin alpha5-beta1 complex	2/410	2/19370	0.00044696173569659355	6	2	0.011694386905613858	3678, 3688
GO:0061202	CC	e	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	3/410	8/19370	0.0004870880861233989	8	3	0.012556844337857621	3312, 6857, 80331
GO:0005839	CC	e	proteasome core complex	4/410	20/19370	0.0007323975782510793	2	4	0.018341327923916313	5686, 5688, 5690, 5691
GO:0005774	CC	e	vacuolar membrane	4/410	20/19370	0.0007323975782510793	5	4	0.018341327923916313	4125, 8775, 23324, 27183
GO:0001726	CC	e	ruffle	8/410	94/19370	0.0008573310875099731	4	8	0.021167625301478633	302, 3678, 3688, 3936, 4627, 4831, 6624, 7094
GO:0070821	CC	e	tertiary granule membrane	7/410	73/19370	0.0008862965307661618	7	7	0.021578858589348358	101, 102, 527, 2040, 3689, 10159, 51552
GO:0005641	CC	e	nuclear envelope lumen	3/410	10/19370	0.0010113017927155612	6	3	0.02395691949500512	590, 3482, 6653
GO:1904724	CC	e	tertiary granule lumen	6/410	55/19370	0.0010467878598598818	5	6	0.02430526660185144	226, 427, 1509, 1512, 4318, 8836
GO:0030667	CC	e	secretory granule membrane	8/410	97/19370	0.001053736601107079	6	8	0.02430526660185144	391, 2171, 3482, 5869, 7879, 10890, 22931, 53916
GO:0022625	CC	e	cytosolic large ribosomal subunit	6/410	56/19370	0.0011518152391891442	5	6	0.026222494990890514	6122, 6129, 6133, 6156, 7311, 23521
GO:0033565	CC	e	ESCRT-0 complex	2/410	3/19370	0.0013220541054760775	3	2	0.028611862307402026	9146, 10254
GO:0034668	CC	e	integrin alpha4-beta1 complex	2/410	3/19370	0.0013220541054760775	6	2	0.028611862307402026	3676, 3688
GO:0099634	CC	e	postsynaptic specialization membrane	2/410	3/19370	0.0013220541054760775	5	2	0.028611862307402026	3312, 10243
GO:0008537	CC	e	proteasome activator complex	2/410	3/19370	0.0013220541054760775	2	2	0.028611862307402026	5720, 5721
GO:0042383	CC	e	sarcolemma	8/410	101/19370	0.001369837264048941	4	8	0.029284447852168213	302, 1605, 3688, 3916, 5534, 6513, 8910, 54407
GO:0030139	CC	e	endocytic vesicle	6/410	59/19370	0.0015157444704144492	7	6	0.032013253694416016	2319, 3482, 5869, 5878, 10254, 10938
GO:0001931	CC	e	uropod	3/410	12/19370	0.001796517619078058	4	3	0.03749161174099805	2319, 3384, 4627
GO:0030027	CC	e	lamellipodium	11/410	185/19370	0.002011162612787285	4	11	0.04147727129666012	60, 1072, 1499, 1605, 2319, 3688, 4739, 4831, 5034, 6624, 11151
GO:1902494	CC	e	catalytic complex	3/410	13/19370	0.002299008058203247	2	3	0.04632369110379646	5351, 23475, 80146
GO:0034362	CC	e	low-density lipoprotein particle	3/410	13/19370	0.002299008058203247	5	3	0.04632369110379646	338, 344, 55937
GO:0000785	CC	p	chromatin	6/410	978/19370	0.00021807641031918202	2	6	0.006479456733720781	60, 1019, 4673, 5901, 11315, 23558
GO:0005634	CC	p	nucleus	84/410	5336/19370	0.0009682369866386111	5	84	0.02325095119969158	60, 102, 226, 293, 302, 396, 427, 506, 811, 972, 1019, 1072, 1499, 1642, 1938, 2023, 2171, 2597, 3059, 3094, 3312, 3716, 3728, 3839, 3939, 4627, 4673, 4733, 4738, 4739, 4831, 4851, 4853, 5093, 5094, 5216, 5366, 5479, 5518, 5686, 5688, 5690, 5691, 5702, 5901, 6122, 6129, 6133, 6156, 6188, 6230, 6386, 6451, 6727, 7128, 7311, 7322, 7323, 7415, 7852, 8836, 8924, 9402, 9525, 9805, 9961, 10382, 10537, 10549, 11315, 23170, 23473, 23521, 23558, 25930, 27183, 51637, 55914, 56829, 57048, 63893, 79077, 80349, 91754
GO:0005178	MF	e	integrin binding	16/410	142/19370	3.521336354354492e-07	4	16	0.0012339508326857378	102, 811, 975, 2208, 3383, 3384, 3676, 3688, 3689, 3936, 4627, 5034, 7070, 7094, 8754, 58494
GO:0001618	MF	e	virus receptor activity	12/410	76/19370	5.569626868362617e-07	3	12	0.0012339508326857378	949, 975, 1605, 2838, 3383, 3678, 3688, 3916, 4864, 7037, 7852, 79581
GO:0045296	MF	e	cadherin binding	24/410	315/19370	1.0966526185897504e-06	4	24	0.0012339790280244893	226, 392, 1499, 1938, 2023, 2194, 3312, 3688, 3728, 3939, 4627, 5093, 5216, 5901, 6624, 7094, 8407, 10528, 10606, 10938, 10985, 11313, 11315, 56829
GO:0023026	MF	e	MHC class II protein complex binding	8/410	27/19370	1.1139508264721186e-06	4	8	0.0012339790280244893	972, 975, 3108, 3109, 3117, 3118, 3122, 3312
GO:0042802	MF	e	identical protein binding	67/410	1491/19370	2.04192922698331e-06	3	67	0.0015079647341271747	60, 226, 302, 327, 590, 949, 972, 998, 2040, 2098, 2171, 2194, 2512, 2597, 2617, 3074, 3135, 3482, 3759, 3939, 3945, 4040, 4282, 4318, 4627, 4733, 4831, 4851, 5688, 5702, 5721, 6129, 6223, 6386, 6513, 6566, 6857, 7037, 7124, 7128, 7415, 9525, 9817, 9961, 10204, 10243, 10549, 10606, 10938, 11315, 23208, 23344, 23475, 23484, 29110, 51150, 51637, 57192, 64115, 64374, 79077, 80146, 81793, 129531, 168537, 388512, 729440
GO:0005515	MF	e	protein binding	330/410	12368/19370	3.419898163847379e-06	2	330	0.0017106423147010919	2, 60, 101, 102, 175, 226, 293, 302, 327, 338, 344, 391, 392, 396, 397, 483, 506, 527, 537, 590, 718, 811, 949, 970, 972, 975, 998, 1019, 1072, 1200, 1499, 1509, 1512, 1515, 1519, 1522, 1605, 1642, 1794, 1938, 2023, 2040, 2042, 2098, 2171, 2194, 2208, 2319, 2512, 2517, 2529, 2535, 2597, 2617, 2665, 2678, 2717, 2783, 2826, 2838, 2935, 3039, 3040, 3059, 3073, 3074, 3094, 3108, 3109, 3117, 3118, 3122, 3135, 3312, 3329, 3336, 3340, 3383, 3455, 3459, 3482, 3560, 3676, 3678, 3688, 3689, 3716, 3728, 3759, 3839, 3916, 3939, 3945, 4040, 4047, 4049, 4061, 4241, 4248, 4282, 4318, 4627, 4673, 4733, 4738, 4739, 4758, 4818, 4831, 4851, 4853, 4864, 4921, 4976, 5034, 5093, 5094, 5216, 5223, 5351, 5366, 5479, 5518, 5534, 5547, 5552, 5660, 5686, 5688, 5690, 5691, 5702, 5720, 5721, 5869, 5878, 5901, 5954, 6004, 6122, 6129, 6133, 6156, 6188, 6197, 6223, 6230, 6361, 6386, 6480, 6513, 6541, 6566, 6624, 6631, 6638, 6653, 6678, 6727, 6782, 6857, 7037, 7070, 7094, 7124, 7128, 7311, 7322, 7323, 7345, 7357, 7415, 7779, 7805, 7850, 7852, 7879, 8407, 8676, 8698, 8754, 8775, 8795, 8809, 8836, 8924, 8985, 9057, 9110, 9123, 9144, 9146, 9159, 9367, 9402, 9452, 9466, 9482, 9525, 9528, 9601, 9766, 9777, 9805, 9817, 9860, 9961, 10015, 10052, 10066, 10148, 10154, 10159, 10204, 10243, 10254, 10329, 10382, 10437, 10483, 10528, 10537, 10549, 10558, 10576, 10606, 10611, 10890, 10938, 10961, 11151, 11226, 11313, 11315, 11342, 11345, 22931, 23011, 23062, 23170, 23193, 23208, 23225, 23315, 23324, 23344, 23473, 23475, 23484, 23545, 23558, 23646, 23673, 25844, 25930, 26001, 26020, 26088, 26154, 27173, 27183, 29015, 29110, 50615, 51150, 51160, 51296, 51552, 51637, 51678, 51699, 53916, 54407, 54472, 54602, 54910, 54914, 55004, 55069, 55281, 55326, 55332, 55340, 55361, 55686, 55737, 55750, 55754, 55914, 56829, 57048, 57192, 57228, 58494, 63893, 64115, 64218, 64374, 64781, 65108, 79037, 79077, 79581, 80331, 80349, 80762, 80774, 81539, 81793, 81876, 83988, 84102, 84548, 84641, 90952, 91754, 93185, 94081, 115817, 116254, 116496, 126298, 129531, 145581, 152137, 168537, 220002, 388512, 729440, 100287171
GO:0019003	MF	e	GDP binding	10/410	74/19370	3.474561235005603e-06	8	10	0.0017106423147010919	4831, 5869, 5878, 5901, 7879, 9367, 10890, 22931, 23011, 51552
GO:0031625	MF	e	ubiquitin protein ligase binding	20/410	295/19370	5.29046752063957e-06	5	20	0.0023442061583953937	527, 811, 3312, 3329, 3716, 4738, 5094, 7311, 7345, 7415, 7805, 7852, 8924, 9482, 10576, 11345, 23208, 54472, 152137, 100287171
GO:0008242	MF	e	omega peptidase activity	3/410	3/19370	9.415550813546945e-06	4	3	0.003792755059529683	327, 7345, 8836
GO:0015186	MF	e	L-glutamine transmembrane transporter activity	4/410	8/19370	1.2945628630722756e-05	7	4	0.0046899255380791005	6509, 54407, 81539, 92745
GO:0003925	MF	e	G protein activity	7/410	39/19370	1.549823620563384e-05	8	7	0.0046899255380791005	998, 5869, 5878, 7879, 10890, 53916, 81876
GO:0005525	MF	e	GTP binding	22/410	372/19370	1.5876525179685515e-05	8	22	0.0046899255380791005	391, 998, 1938, 2935, 4733, 4976, 5869, 5878, 5901, 7879, 9367, 10382, 10890, 10938, 22931, 23011, 51552, 53916, 55340, 81876, 126298, 168537
GO:0003924	MF	e	GTPase activity	20/410	326/19370	2.285664998364784e-05	7	20	0.005972040960082524	391, 397, 998, 1938, 2783, 2935, 4733, 4976, 5869, 5878, 5901, 6004, 7879, 9367, 10382, 22931, 23011, 51552, 81876, 168537
GO:0015194	MF	e	L-serine transmembrane transporter activity	4/410	9/19370	2.2912366581223856e-05	8	4	0.005972040960082524	6509, 54407, 92745, 94081
GO:0050839	MF	e	cell adhesion molecule binding	8/410	66/19370	7.391474851396776e-05	3	8	0.018195347259188397	101, 1829, 3676, 3688, 3689, 3728, 6386, 55714
GO:0008233	MF	e	peptidase activity	9/410	90/19370	0.00012152005890732653	3	9	0.028339756895703363	175, 1200, 1509, 1512, 4318, 5641, 5690, 9159, 11315
GO:0043130	MF	e	ubiquitin binding	9/410	91/19370	0.00013237855120608276	4	9	0.029328468019707638	7128, 7345, 7852, 9146, 10254, 23062, 26088, 51160, 54472
GO:0015171	MF	e	amino acid transmembrane transporter activity	6/410	40/19370	0.00018094593329890364	5	6	0.03485962741075835	6509, 6541, 9057, 54407, 81539, 92745
GO:0005102	MF	e	signaling receptor binding	19/410	351/19370	0.00019008775091207815	3	19	0.03509495101214243	2, 102, 718, 970, 2717, 2734, 3135, 4040, 4049, 4050, 6361, 8744, 9860, 10154, 11315, 26154, 27173, 55914, 56253
GO:0000978	MF	p	RNA polymerase II cis-regulatory region sequence-specific DNA binding	1/410	1173/19370	1.6274191876953235e-06	9	1	0.0014422188841355958	23558
GO:0000981	MF	p	DNA-binding transcription factor activity, RNA polymerase II-specific	1/410	1236/19370	2.9086125671855624e-06	3	1	0.0017106423147010919	5093
GO:1990837	MF	p	sequence-specific double-stranded DNA binding	0/410	555/19370	1.3974962151474284e-05	6	0	0.0046899255380791005	
GO:0003700	MF	p	DNA-binding transcription factor activity	0/410	442/19370	0.0001451038335044287	2	0	0.02968169184898086	
GO:0001228	MF	p	DNA-binding transcription activator activity, RNA polymerase II-specific	0/410	444/19370	0.00014737016941493544	4	0	0.02968169184898086	
